,genres,release_year,Hours_Played
0,Action,1983,59.74
1,Action,1984,6.4
2,Action,1988,270.71
3,Action,1989,10.110000000000001
4,Action,1990,313.17
5,Action,1991,41.73
6,Action,1992,32.07
7,Action,1993,411.23
8,Action,1994,2017.93
9,Action,1995,3630.98
10,Action,1996,1167.91
11,Action,1997,6050.98
12,Action,1998,48918.95
13,Action,1999,45590.26
14,Action,2000,310734.61
15,Action,2001,22289.32
16,Action,2002,12340.63
17,Action,2003,199489.41
18,Action,2004,2187043.31
19,Action,2005,207104.8
20,Action,2006,181658.6
21,Action,2007,295753.65
22,Action,2008,566507.78
23,Action,2009,2757876.22
24,Action,2010,3044451.87
25,Action,2011,5596813.47
26,Action,2012,18317730.7
27,Action,2013,7012441.57
28,Action,2014,2820380.3
29,Action,2015,4422799.66
30,Action,2016,1618447.17
31,Action,2017,2130901.01
32,Action,2018,37.06
33,Adventure,1983,59.74
34,Adventure,1984,6.4
35,Adventure,1987,128.64
36,Adventure,1988,504.07
37,Adventure,1989,155.45
38,Adventure,1990,92.33
39,Adventure,1991,28.73
40,Adventure,1992,398.28
41,Adventure,1993,780.2
42,Adventure,1994,264.86
43,Adventure,1995,167.1
44,Adventure,1996,1767.56
45,Adventure,1997,5488.54
46,Adventure,1998,3019.11
47,Adventure,1999,130.48
48,Adventure,2000,1761.14
49,Adventure,2001,858.34
50,Adventure,2002,3081.08
51,Adventure,2003,87863.99
52,Adventure,2004,1610.55
53,Adventure,2005,3465.77
54,Adventure,2006,3471.31
55,Adventure,2007,6771.35
56,Adventure,2008,55425.6
57,Adventure,2009,114146.85
58,Adventure,2010,421166.04
59,Adventure,2011,3739137.03
60,Adventure,2012,1238139.03
61,Adventure,2013,2547684.37
62,Adventure,2014,1186903.24
63,Adventure,2015,3046994.19
64,Adventure,2016,1050079.07
65,Adventure,2017,1565640.38
66,Adventure,2018,0.35
67,Animation &amp; Modeling,2008,34.379999999999995
68,Animation &amp; Modeling,2012,298.58
69,Animation &amp; Modeling,2013,7290.81
70,Animation &amp; Modeling,2014,1327.32
71,Animation &amp; Modeling,2015,22578.75
72,Animation &amp; Modeling,2016,1927.19
73,Audio Production,2007,184.85999999999999
74,Audio Production,2013,1219.6299999999999
75,Audio Production,2014,7770.74
76,Audio Production,2015,84.35000000000001
77,Audio Production,2016,7.64
78,Casual,1983,59.74
79,Casual,1984,6.4
80,Casual,1991,22.58
81,Casual,1992,42.04
82,Casual,1993,367.32
83,Casual,1994,766.28
84,Casual,1995,59.410000000000004
85,Casual,1996,511.98
86,Casual,1997,542.3
87,Casual,1998,218.06
88,Casual,1999,10698.45
89,Casual,2000,885.6
90,Casual,2001,105.50999999999999
91,Casual,2002,1027.11
92,Casual,2003,50.83
93,Casual,2004,408.2
94,Casual,2005,679.82
95,Casual,2006,3952.57
96,Casual,2007,12200.38
97,Casual,2008,9519.75
98,Casual,2009,15827.25
99,Casual,2010,80131.61
100,Casual,2011,100468.42
101,Casual,2012,343740.4
102,Casual,2013,217429.25
103,Casual,2014,424981.09
104,Casual,2015,1375261.08
105,Casual,2016,741354.97
106,Casual,2017,859100.48
